Site,Parameter,Date,Year,Month,Day,Hour,AQI,RawConc,ConcUnit,Duration,QCName,AQICat,NowCastConc
Ho Chi Minh City,PM2.5 - Principal,01DEC16:01:00,2016,12,1,1,89,52,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:02:00,2016,12,1,2,87,42,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:03:00,2016,12,1,3,85,29,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:04:00,2016,12,1,4,84,29,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:05:00,2016,12,1,5,84,18,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:06:00,2016,12,1,6,83,24,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:07:00,2016,12,1,7,83,24,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:08:00,2016,12,1,8,83,39,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:09:00,2016,12,1,9,83,64,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:10:00,2016,12,1,10,83,27,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:11:00,2016,12,1,11,81,27,UG/M3,1 Hr,Valid,Moderate,38
Ho Chi Minh City,PM2.5 - Principal,01DEC16:12:00,2016,12,1,12,80,37,UG/M3,1 Hr,Valid,Moderate,35
Ho Chi Minh City,PM2.5 - Principal,01DEC16:13:00,2016,12,1,13,77,34,UG/M3,1 Hr,Valid,Moderate,34
Ho Chi Minh City,PM2.5 - Principal,01DEC16:14:00,2016,12,1,14,74,19,UG/M3,1 Hr,Valid,Moderate,27
Ho Chi Minh City,PM2.5 - Principal,01DEC16:15:00,2016,12,1,15,71,17,UG/M3,1 Hr,Valid,Moderate,22
Ho Chi Minh City,PM2.5 - Principal,01DEC16:16:00,2016,12,1,16,71,10,UG/M3,1 Hr,Valid,Moderate,16
Ho Chi Minh City,PM2.5 - Principal,01DEC16:17:00,2016,12,1,17,73,12,UG/M3,1 Hr,Valid,Moderate,14
Ho Chi Minh City,PM2.5 - Principal,01DEC16:18:00,2016,12,1,18,73,11,UG/M3,1 Hr,Valid,Moderate,12
Ho Chi Minh City,PM2.5 - Principal,01DEC16:19:00,2016,12,1,19,72,15,UG/M3,1 Hr,Valid,Moderate,14
Ho Chi Minh City,PM2.5 - Principal,01DEC16:20:00,2016,12,1,20,72,17,UG/M3,1 Hr,Valid,Moderate,15
Ho Chi Minh City,PM2.5 - Principal,01DEC16:21:00,2016,12,1,21,71,17,UG/M3,1 Hr,Valid,Moderate,16
Ho Chi Minh City,PM2.5 - Principal,01DEC16:22:00,2016,12,1,22,69,11,UG/M3,1 Hr,Valid,Moderate,14
Ho Chi Minh City,PM2.5 - Principal,01DEC16:23:00,2016,12,1,23,71,9,UG/M3,1 Hr,Valid,Moderate,11
Ho Chi Minh City,PM2.5 - Principal,02DEC16:00:00,2016,12,2,0,72,10,UG/M3,1 Hr,Valid,Moderate,11
Ho Chi Minh City,PM2.5 - Principal,02DEC16:01:00,2016,12,2,1,72,10,UG/M3,1 Hr,Valid,Moderate,10
Ho Chi Minh City,PM2.5 - Principal,02DEC16:02:00,2016,12,2,2,72,13,UG/M3,1 Hr,Valid,Moderate,12
Ho Chi Minh City,PM2.5 - Principal,02DEC16:03:00,2016,12,2,3,73,20,UG/M3,1 Hr,Valid,Moderate,16
Ho Chi Minh City,PM2.5 - Principal,02DEC16:04:00,2016,12,2,4,75,53,UG/M3,1 Hr,Valid,Moderate,34
Ho Chi Minh City,PM2.5 - Principal,02DEC16:05:00,2016,12,2,5,79,22,UG/M3,1 Hr,Valid,Moderate,28
Ho Chi Minh City,PM2.5 - Principal,02DEC16:06:00,2016,12,2,6,83,18,UG/M3,1 Hr,Valid,Moderate,23
Ho Chi Minh City,PM2.5 - Principal,02DEC16:07:00,2016,12,2,7,85,23,UG/M3,1 Hr,Valid,Moderate,23
Ho Chi Minh City,PM2.5 - Principal,02DEC16:08:00,2016,12,2,8,86,27,UG/M3,1 Hr,Valid,Moderate,25
Ho Chi Minh City,PM2.5 - Principal,02DEC16:09:00,2016,12,2,9,89,38,UG/M3,1 Hr,Valid,Moderate,32
Ho Chi Minh City,PM2.5 - Principal,02DEC16:10:00,2016,12,2,10,92,51,UG/M3,1 Hr,Valid,Moderate,41
Ho Chi Minh City,PM2.5 - Principal,02DEC16:11:00,2016,12,2,11,97,40,UG/M3,1 Hr,Valid,Moderate,41
Ho Chi Minh City,PM2.5 - Principal,02DEC16:12:00,2016,12,2,12,104,34,UG/M3,1 Hr,Valid,Unhealth,37
Ho Chi Minh City,PM2.5 - Principal,02DEC16:13:00,2016,12,2,13,111,32,UG/M3,1 Hr,Valid,Unhealth,35
Ho Chi Minh City,PM2.5 - Principal,02DEC16:14:00,2016,12,2,14,117,30,UG/M3,1 Hr,Valid,Unhealth,32
Ho Chi Minh City,PM2.5 - Principal,02DEC16:15:00,2016,12,2,15,123,46,UG/M3,1 Hr,Valid,Unhealth,39
