Site,Parameter,Date,Year,Month,Day,Hour,NowCastConc,AQI,AQICat,RawConc,ConcUnit,Duration,QCName
Ho Chi Minh City,PM2.5 - Principal,01DEC18:01:00,2018,12,1,1,19,66,Moderate,16,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:02:00,2018,12,1,2,18,64,Moderate,17,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:03:00,2018,12,1,3,20,68,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:04:00,2018,12,1,4,24,76,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:05:00,2018,12,1,5,25,77,Moderate,25,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:06:00,2018,12,1,6,40,111,Unhealthy for Sensitive Groups,55,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:07:00,2018,12,1,7,52,141,Unhealthy for Sensitive Groups,64,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:08:00,2018,12,1,8,44,122,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:09:00,2018,12,1,9,40,112,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:10:00,2018,12,1,10,41,116,Unhealthy for Sensitive Groups,43,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:11:00,2018,12,1,11,33,95,Moderate,25,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:12:00,2018,12,1,12,26,80,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC18:13:00,2018,12,1,13,25,78,Moderate,24,UG/M3,1 Hr,Valid
