date,_pm25,_pm10,_o3,_no2,_so2,_co,year,month,day,dayofyear,refperiod,city
2014-12-29,255,88.091160221,46.70441989,27.892265193,11.875690608,13.586592179,2014,12,29,29DEC,0,Beijing
2014-12-28,288,167,19,55,34,31,2014,12,28,28DEC,0,Beijing
2014-12-27,226,167,2,67,48,40,2014,12,27,27DEC,0,Beijing
2014-12-26,82,125,1,51,42,33,2014,12,26,26DEC,0,Beijing
2014-12-25,54,33,25,25,11,5,2014,12,25,25DEC,0,Beijing
2014-12-24,170,34,28,16,9,3,2014,12,24,24DEC,0,Beijing
2014-12-23,170,90,21,41,27,22,2014,12,23,23DEC,0,Beijing
2014-12-22,60,88,7,43,24,19,2014,12,22,22DEC,0,Beijing
2014-12-21,41,30,19,16,6,4,2014,12,21,21DEC,0,Beijing
2014-12-20,120,13,21,15,5,3,2014,12,20,20DEC,0,Beijing
2014-12-19,222,47,26,20,9,10,2014,12,19,19DEC,0,Beijing
2014-12-18,161,121,3,43,45,34,2014,12,18,18DEC,0,Beijing
2014-12-17,44,88,14,35,19,15,2014,12,17,17DEC,0,Beijing
2014-12-16,130,31,25,7,3,3,2014,12,16,16DEC,0,Beijing
2014-12-15,174,95,26,26,17,14,2014,12,15,15DEC,0,Beijing
2014-12-14,111,91,8,42,22,19,2014,12,14,14DEC,0,Beijing
2014-12-13,51,57,17,25,12,8,2014,12,13,13DEC,0,Beijing
2014-12-12,72,42,22,12,5,2,2014,12,12,12DEC,0,Beijing
2014-12-11,199,39,26,16,8,4,2014,12,11,11DEC,0,Beijing
2014-12-10,382,153,25,33,24,25,2014,12,10,10DEC,0,Beijing
2014-12-09,122,255,2,59,41,54,2014,12,9,09DEC,0,Beijing
2014-12-08,119,58,16,29,14,9,2014,12,8,08DEC,0,Beijing
2014-12-07,137,58,23,24,15,11,2014,12,7,07DEC,0,Beijing
2014-12-06,76,71,15,37,19,15,2014,12,6,06DEC,0,Beijing
2014-12-05,37,42,24,24,9,5,2014,12,5,05DEC,0,Beijing
2014-12-04,63,37,28,10,3,2,2014,12,4,04DEC,0,Beijing
2014-12-03,112,52,29,14,5,5,2014,12,3,03DEC,0,Beijing
2014-12-02,54,48,11,25,11,8,2014,12,2,02DEC,0,Beijing
2014-12-01,145,66,25,8,3,2,2014,12,1,01DEC,0,Beijing
2014-11-30,350,156,29,19,7,10,2014,11,30,30NOV,0,Beijing
2014-11-29,170,257,1,48,13,36,2014,11,29,29NOV,0,Beijing
2014-11-28,126,102,12,36,13,14,2014,11,28,28NOV,0,Beijing
2014-11-27,345,92,24,28,7,11,2014,11,27,27NOV,0,Beijing
2014-11-26,230,231,1,61,21,37,2014,11,26,26NOV,0,Beijing
2014-11-25,157,127,8,44,19,22,2014,11,25,25NOV,0,Beijing
2014-11-24,191,74,17,36,7,16,2014,11,24,24NOV,0,Beijing
2014-11-23,99,101,1,45,15,20,2014,11,23,23NOV,0,Beijing
2014-11-22,254,45,16,29,7,6,2014,11,22,22NOV,0,Beijing
2014-11-21,403,181,13,55,10,25,2014,11,21,21NOV,0,Beijing
2014-11-20,366,283,2,74,21,40,2014,11,20,20NOV,0,Beijing
2014-11-19,161,256,1,69,31,38,2014,11,19,19NOV,0,Beijing
2014-11-18,73,82,7,43,18,13,2014,11,18,18NOV,0,Beijing
2014-11-17,171,29,24,21,7,4,2014,11,17,17NOV,0,Beijing
2014-11-16,228,96,22,35,13,18,2014,11,16,16NOV,0,Beijing
2014-11-15,113,136,1,58,24,23,2014,11,15,15NOV,0,Beijing
2014-11-14,79,53,18,31,7,8,2014,11,14,14NOV,0,Beijing
2014-11-13,26,38,21,26,3,5,2014,11,13,13NOV,0,Beijing
2014-11-12,89,42,31,7,1,1,2014,11,12,12NOV,0,Beijing
2014-11-11,153,57,29,20,1,6,2014,11,11,11NOV,0,Beijing
2014-11-10,140,67,12,41,4,10,2014,11,10,10NOV,0,Beijing
