date,_pm25,year,month,day,dayofyear,refperiod,_no2,_pm10,city
2016-10-02,91,2016,10,2,02OCT,0,0,0,Ho-Chi-Minh
2016-10-03,85,2016,10,3,03OCT,0,0,0,Ho-Chi-Minh
2016-10-04,93,2016,10,4,04OCT,0,0,0,Ho-Chi-Minh
2016-10-05,114,2016,10,5,05OCT,0,0,0,Ho-Chi-Minh
2016-10-06,95,2016,10,6,06OCT,0,0,0,Ho-Chi-Minh
2016-10-07,103,2016,10,7,07OCT,0,0,0,Ho-Chi-Minh
2016-10-08,83,2016,10,8,08OCT,0,0,0,Ho-Chi-Minh
2016-10-09,93,2016,10,9,09OCT,0,0,0,Ho-Chi-Minh
2016-10-10,113,2016,10,10,10OCT,0,0,0,Ho-Chi-Minh
2016-10-11,88,2016,10,11,11OCT,0,0,0,Ho-Chi-Minh
2016-10-12,106,2016,10,12,12OCT,0,0,0,Ho-Chi-Minh
2016-10-13,130,2016,10,13,13OCT,0,0,0,Ho-Chi-Minh
2016-10-14,126,2016,10,14,14OCT,0,0,0,Ho-Chi-Minh
2016-10-15,110,2016,10,15,15OCT,0,0,0,Ho-Chi-Minh
2016-10-16,121,2016,10,16,16OCT,0,0,0,Ho-Chi-Minh
2016-10-17,98,2016,10,17,17OCT,0,0,0,Ho-Chi-Minh
2016-10-18,98,2016,10,18,18OCT,0,0,0,Ho-Chi-Minh
2016-10-19,97,2016,10,19,19OCT,0,0,0,Ho-Chi-Minh
2016-10-20,79,2016,10,20,20OCT,0,0,0,Ho-Chi-Minh
2016-10-21,76,2016,10,21,21OCT,0,0,0,Ho-Chi-Minh
2016-10-22,84,2016,10,22,22OCT,0,0,0,Ho-Chi-Minh
2016-10-23,110,2016,10,23,23OCT,0,0,0,Ho-Chi-Minh
2016-10-24,95,2016,10,24,24OCT,0,0,0,Ho-Chi-Minh
2016-10-25,116,2016,10,25,25OCT,0,0,0,Ho-Chi-Minh
2016-10-26,120,2016,10,26,26OCT,0,0,0,Ho-Chi-Minh
2016-10-27,63,2016,10,27,27OCT,0,0,0,Ho-Chi-Minh
2016-10-28,58,2016,10,28,28OCT,0,0,0,Ho-Chi-Minh
2016-10-29,60,2016,10,29,29OCT,0,0,0,Ho-Chi-Minh
2016-10-30,34,2016,10,30,30OCT,0,0,0,Ho-Chi-Minh
2016-10-31,51,2016,10,31,31OCT,0,0,0,Ho-Chi-Minh
2016-11-01,115,2016,11,1,01NOV,0,0,0,Ho-Chi-Minh
2016-11-02,144,2016,11,2,02NOV,0,0,0,Ho-Chi-Minh
2016-11-03,55,2016,11,3,03NOV,0,0,0,Ho-Chi-Minh
2016-11-04,75,2016,11,4,04NOV,0,0,0,Ho-Chi-Minh
2016-11-05,76,2016,11,5,05NOV,0,0,0,Ho-Chi-Minh
2016-11-06,74,2016,11,6,06NOV,0,0,0,Ho-Chi-Minh
2016-11-07,60,2016,11,7,07NOV,0,0,0,Ho-Chi-Minh
2016-11-08,74,2016,11,8,08NOV,0,0,0,Ho-Chi-Minh
2016-11-09,76,2016,11,9,09NOV,0,0,0,Ho-Chi-Minh
2016-11-10,72,2016,11,10,10NOV,0,0,0,Ho-Chi-Minh
2016-11-11,105,2016,11,11,11NOV,0,0,0,Ho-Chi-Minh
2016-11-12,124,2016,11,12,12NOV,0,0,0,Ho-Chi-Minh
2016-11-13,91,2016,11,13,13NOV,0,0,0,Ho-Chi-Minh
2016-11-14,97,2016,11,14,14NOV,0,0,0,Ho-Chi-Minh
2016-11-15,105,2016,11,15,15NOV,0,0,0,Ho-Chi-Minh
2016-11-16,118,2016,11,16,16NOV,0,0,0,Ho-Chi-Minh
2016-11-17,123,2016,11,17,17NOV,0,0,0,Ho-Chi-Minh
2016-11-18,134,2016,11,18,18NOV,0,0,0,Ho-Chi-Minh
2016-11-19,86,2016,11,19,19NOV,0,0,0,Ho-Chi-Minh
2016-11-20,81,2016,11,20,20NOV,0,0,0,Ho-Chi-Minh
2016-11-21,94,2016,11,21,21NOV,0,0,0,Ho-Chi-Minh
2016-11-22,93,2016,11,22,22NOV,0,0,0,Ho-Chi-Minh
2016-11-23,73,2016,11,23,23NOV,0,0,0,Ho-Chi-Minh
2016-11-24,78,2016,11,24,24NOV,0,0,0,Ho-Chi-Minh
2016-11-25,90,2016,11,25,25NOV,0,0,0,Ho-Chi-Minh
2016-11-26,114,2016,11,26,26NOV,0,0,0,Ho-Chi-Minh
2016-11-27,112,2016,11,27,27NOV,0,0,0,Ho-Chi-Minh
2016-11-28,116,2016,11,28,28NOV,0,0,0,Ho-Chi-Minh
2016-11-29,118,2016,11,29,29NOV,0,0,0,Ho-Chi-Minh
2016-11-30,104,2016,11,30,30NOV,0,0,0,Ho-Chi-Minh
2016-12-01,90,2016,12,1,01DEC,0,0,0,Ho-Chi-Minh
2016-12-02,81,2016,12,2,02DEC,0,0,0,Ho-Chi-Minh
2016-12-03,99,2016,12,3,03DEC,0,0,0,Ho-Chi-Minh
2016-12-04,93,2016,12,4,04DEC,0,0,0,Ho-Chi-Minh
2016-12-05,106,2016,12,5,05DEC,0,0,0,Ho-Chi-Minh
2016-12-06,85,2016,12,6,06DEC,0,0,0,Ho-Chi-Minh
2016-12-07,96,2016,12,7,07DEC,0,0,0,Ho-Chi-Minh
2016-12-08,120,2016,12,8,08DEC,0,0,0,Ho-Chi-Minh
2016-12-09,120,2016,12,9,09DEC,0,0,0,Ho-Chi-Minh
2016-12-10,115,2016,12,10,10DEC,0,0,0,Ho-Chi-Minh
2016-12-11,159,2016,12,11,11DEC,0,0,0,Ho-Chi-Minh
2016-12-12,125,2016,12,12,12DEC,0,0,0,Ho-Chi-Minh
2016-12-13,102,2016,12,13,13DEC,0,0,0,Ho-Chi-Minh
2016-12-14,79,2016,12,14,14DEC,0,0,0,Ho-Chi-Minh
2016-12-15,95,2016,12,15,15DEC,0,0,0,Ho-Chi-Minh
2016-12-16,83,2016,12,16,16DEC,0,0,0,Ho-Chi-Minh
2016-12-17,98,2016,12,17,17DEC,0,0,0,Ho-Chi-Minh
2016-12-18,111,2016,12,18,18DEC,0,0,0,Ho-Chi-Minh
2016-12-19,112,2016,12,19,19DEC,0,0,0,Ho-Chi-Minh
2016-12-20,107,2016,12,20,20DEC,0,0,0,Ho-Chi-Minh
2016-12-21,133,2016,12,21,21DEC,0,0,0,Ho-Chi-Minh
2016-12-22,112,2016,12,22,22DEC,0,0,0,Ho-Chi-Minh
2016-12-23,113,2016,12,23,23DEC,0,0,0,Ho-Chi-Minh
2016-12-24,115,2016,12,24,24DEC,0,0,0,Ho-Chi-Minh
2016-12-25,136,2016,12,25,25DEC,0,0,0,Ho-Chi-Minh
2016-12-26,135,2016,12,26,26DEC,0,0,0,Ho-Chi-Minh
2016-12-27,118,2016,12,27,27DEC,0,0,0,Ho-Chi-Minh
2016-12-28,131,2016,12,28,28DEC,0,0,0,Ho-Chi-Minh
2016-12-29,117,2016,12,29,29DEC,0,0,0,Ho-Chi-Minh
2016-12-30,91,2016,12,30,30DEC,0,0,0,Ho-Chi-Minh
2016-12-31,90,2016,12,31,31DEC,0,0,0,Ho-Chi-Minh
2016-07-02,59,2016,7,2,02JUL,0,0,0,Ho-Chi-Minh
2016-07-03,86,2016,7,3,03JUL,0,0,0,Ho-Chi-Minh
2016-07-04,102,2016,7,4,04JUL,0,0,0,Ho-Chi-Minh
2016-07-05,102,2016,7,5,05JUL,0,0,0,Ho-Chi-Minh
2016-07-06,78,2016,7,6,06JUL,0,0,0,Ho-Chi-Minh
2016-07-07,72,2016,7,7,07JUL,0,0,0,Ho-Chi-Minh
2016-07-08,46,2016,7,8,08JUL,0,0,0,Ho-Chi-Minh
2016-07-09,51,2016,7,9,09JUL,0,0,0,Ho-Chi-Minh
2016-07-10,58,2016,7,10,10JUL,0,0,0,Ho-Chi-Minh
2016-07-11,64,2016,7,11,11JUL,0,0,0,Ho-Chi-Minh
2016-07-12,58,2016,7,12,12JUL,0,0,0,Ho-Chi-Minh
2016-07-13,64,2016,7,13,13JUL,0,0,0,Ho-Chi-Minh
2016-07-14,72,2016,7,14,14JUL,0,0,0,Ho-Chi-Minh
2016-07-15,67,2016,7,15,15JUL,0,0,0,Ho-Chi-Minh
2016-07-16,75,2016,7,16,16JUL,0,0,0,Ho-Chi-Minh
2016-07-17,85,2016,7,17,17JUL,0,0,0,Ho-Chi-Minh
2016-07-18,90,2016,7,18,18JUL,0,0,0,Ho-Chi-Minh
2016-07-19,76,2016,7,19,19JUL,0,0,0,Ho-Chi-Minh
2016-07-20,76,2016,7,20,20JUL,0,0,0,Ho-Chi-Minh
2016-07-21,99,2016,7,21,21JUL,0,0,0,Ho-Chi-Minh
2016-07-22,83,2016,7,22,22JUL,0,0,0,Ho-Chi-Minh
2016-07-23,98,2016,7,23,23JUL,0,0,0,Ho-Chi-Minh
2016-07-24,136,2016,7,24,24JUL,0,0,0,Ho-Chi-Minh
2016-07-25,126,2016,7,25,25JUL,0,0,0,Ho-Chi-Minh
2016-07-26,86,2016,7,26,26JUL,0,0,0,Ho-Chi-Minh
2016-07-27,75,2016,7,27,27JUL,0,0,0,Ho-Chi-Minh
2016-07-28,68,2016,7,28,28JUL,0,0,0,Ho-Chi-Minh
2016-07-29,68,2016,7,29,29JUL,0,0,0,Ho-Chi-Minh
2016-07-30,58,2016,7,30,30JUL,0,0,0,Ho-Chi-Minh
2016-07-31,63,2016,7,31,31JUL,0,0,0,Ho-Chi-Minh
2016-08-01,49,2016,8,1,01AUG,0,0,0,Ho-Chi-Minh
2016-08-02,74,2016,8,2,02AUG,0,0,0,Ho-Chi-Minh
2016-08-03,63,2016,8,3,03AUG,0,0,0,Ho-Chi-Minh
2016-08-04,86,2016,8,4,04AUG,0,0,0,Ho-Chi-Minh
2016-08-05,58,2016,8,5,05AUG,0,0,0,Ho-Chi-Minh
2016-08-06,71,2016,8,6,06AUG,0,0,0,Ho-Chi-Minh
2016-08-07,79,2016,8,7,07AUG,0,0,0,Ho-Chi-Minh
2016-08-08,54,2016,8,8,08AUG,0,0,0,Ho-Chi-Minh
2016-08-09,50,2016,8,9,09AUG,0,0,0,Ho-Chi-Minh
2016-08-10,54,2016,8,10,10AUG,0,0,0,Ho-Chi-Minh
2016-08-11,55,2016,8,11,11AUG,0,0,0,Ho-Chi-Minh
2016-08-12,66,2016,8,12,12AUG,0,0,0,Ho-Chi-Minh
2016-08-13,57,2016,8,13,13AUG,0,0,0,Ho-Chi-Minh
2016-08-14,52,2016,8,14,14AUG,0,0,0,Ho-Chi-Minh
2016-08-15,55,2016,8,15,15AUG,0,0,0,Ho-Chi-Minh
