date,_pm25,_pm10,_o3,_no2,_so2,_co,year,month,day,dayofyear,refperiod,city
2014-12-29,54,25.144444444,23.669724771,38.195718654,3.990625,4.49375,2014,12,29,29DEC,0,London
2014-12-28,43,27,21,29,1,5,2014,12,28,28DEC,0,London
2014-12-27,55,13,25,28,3,5,2014,12,27,27DEC,0,London
2014-12-26,44,18,19,38,2,7,2014,12,26,26DEC,0,London
2014-12-25,34,16,21,28,1,5,2014,12,25,25DEC,0,London
2014-12-24,42,11,30,32,2,5,2014,12,24,24DEC,0,London
2014-12-23,48,16,32,46,4,6,2014,12,23,23DEC,0,London
2014-12-22,43,18,27,45,4,6,2014,12,22,22DEC,0,London
2014-12-21,46,15,27,46,3,7,2014,12,21,21DEC,0,London
2014-12-20,43,17,22,43,3,6,2014,12,20,20DEC,0,London
2014-12-19,48,17,26,46,3,5,2014,12,19,19DEC,0,London
2014-12-18,56,18,24,42,5,2,2014,12,18,18DEC,0,London
2014-12-17,79,22,19,45,6,3,2014,12,17,17DEC,0,London
2014-12-16,64,34,5,54,7,5,2014,12,16,16DEC,0,London
2014-12-15,60,28,22,59,7,3,2014,12,15,15DEC,0,London
2014-12-14,77,25,25,37,4,3,2014,12,14,14DEC,0,London
2014-12-13,52,35,6,51,5,5,2014,12,13,13DEC,0,London
2014-12-12,53,20,32,47,5,2,2014,12,12,12DEC,0,London
2014-12-11,57,23,28,49,4,2,2014,12,11,11DEC,0,London
2014-12-10,60,27,30,52,5,2,2014,12,10,10DEC,0,London
2014-12-09,47,27,21,49,5,3,2014,12,9,09DEC,0,London
2014-12-08,49,19,14,38,2,2,2014,12,8,08DEC,0,London
2014-12-07,80,18,23,37,2,2,2014,12,7,07DEC,0,London
2014-12-06,76,32,4,48,3,4,2014,12,6,06DEC,0,London
2014-12-05,68,30,5,37,3,4,2014,12,5,05DEC,0,London
2014-12-04,53,25,16,34,2,6,2014,12,4,04DEC,0,London
2014-12-03,62,24,18,40,3.990625,6,2014,12,3,03DEC,0,London
2014-12-02,81,24,20,43,1,7,2014,12,2,02DEC,0,London
2014-12-01,99,30,11,28,1,7,2014,12,1,01DEC,0,London
2014-11-30,105,39,9,29,3,10,2014,11,30,30NOV,0,London
2014-11-29,86,44,1,29,5,12,2014,11,29,29NOV,0,London
2014-11-28,89,36,1,29,5,10,2014,11,28,28NOV,0,London
