date,_pm25,_pm10,_o3,_no2,_so2,_co,year,month,day,dayofyear,refperiod,lnpm25,city
2014-10-02,100,45,15,54,,6,2014,10,2,02OCT,0,4.605170186,Paris
2014-10-03,78,61,25,71,,1,2014,10,3,03OCT,0,4.3567088267,Paris
2014-10-04,106,53,28,53,,7,2014,10,4,04OCT,0,4.6634390941,Paris
2014-10-05,83,34,20,38,,4,2014,10,5,05OCT,0,4.4188406078,Paris
2014-10-06,56,35,14,44,,5,2014,10,6,06OCT,0,4.0253516907,Paris
2014-10-07,70,29,19,43,,5,2014,10,7,07OCT,0,4.248495242,Paris
2014-10-08,54,27,22,48,,6,2014,10,8,08OCT,0,3.9889840466,Paris
2014-10-09,61,35,20,45,,7,2014,10,9,09OCT,0,4.1108738642,Paris
2014-10-10,63,45,12,51,,8,2014,10,10,10OCT,0,4.1431347264,Paris
2014-10-11,87,38,21,46,,7,2014,10,11,11OCT,0,4.4659081187,Paris
2014-10-12,80,36,13,42,,5,2014,10,12,12OCT,0,4.3820266347,Paris
2014-10-13,80,25,24,41,,5,2014,10,13,13OCT,0,4.3820266347,Paris
2014-10-14,53,34,23,59,,7,2014,10,14,14OCT,0,3.9702919136,Paris
2014-10-15,67,44,8,55,,9,2014,10,15,15OCT,0,4.2046926194,Paris
2014-10-16,92,36,17,45,,7,2014,10,16,16OCT,0,4.521788577,Paris
2014-10-17,65,33,16,51,,7,2014,10,17,17OCT,0,4.1743872699,Paris
2014-10-18,64,36,15,51,,8,2014,10,18,18OCT,0,4.1588830834,Paris
2014-10-19,75,37,20,46,,6,2014,10,19,19OCT,0,4.3174881135,Paris
2014-10-20,78,41,12,49,,6,2014,10,20,20OCT,0,4.3567088267,Paris
2014-10-21,74,39,20,37,,4,2014,10,21,21OCT,0,4.3040650932,Paris
2014-10-22,58,59,16,51,,6,2014,10,22,22OCT,0,4.0604430105,Paris
2014-10-23,69,44,18,49,,5,2014,10,23,23OCT,0,4.2341065046,Paris
2014-10-24,68,43,12,52,,6,2014,10,24,24OCT,0,4.2195077052,Paris
2014-10-25,78,51,5,49,,8,2014,10,25,25OCT,0,4.3567088267,Paris
2014-10-26,108,47,14,46,,7,2014,10,26,26OCT,0,4.6821312271,Paris
2014-10-27,100,56,6,53,,9,2014,10,27,27OCT,0,4.605170186,Paris
2014-10-28,116,42,9,36,,6,2014,10,28,28OCT,0,4.7535901911,Paris
2014-10-29,89,53,6,47,,8,2014,10,29,29OCT,0,4.4886363697,Paris
2014-10-30,109,57,5,57,,9,2014,10,30,30OCT,0,4.6913478822,Paris
2014-10-31,108,55,6,60,,9,2014,10,31,31OCT,0,4.6821312271,Paris
2014-11-01,98,45,11,42,,7,2014,11,1,01NOV,0,4.5849674787,Paris
2014-11-02,88,28,21,29,,3,2014,11,2,02NOV,0,4.4773368145,Paris
2014-11-03,60,27,20,42,,4,2014,11,3,03NOV,0,4.0943445622,Paris
2014-11-04,50,36,16,52,,7,2014,11,4,04NOV,0,3.9120230054,Paris
2014-11-05,76,36,12,49,,6,2014,11,5,05NOV,0,4.3307333403,Paris
2014-11-06,71,44,12,52,,7,2014,11,6,06NOV,0,4.262679877,Paris
2014-11-07,87,28,19,45,,5,2014,11,7,07NOV,0,4.4659081187,Paris
2014-11-08,57,34,13,40,,5,2014,11,8,08NOV,0,4.0430512678,Paris
2014-11-09,66,33,12,40,,5,2014,11,9,09NOV,0,4.189654742,Paris
2014-11-10,71,37,10,44,,6,2014,11,10,10NOV,0,4.262679877,Paris
2014-11-11,96,33,23,40,,6,2014,11,11,11NOV,0,4.5643481915,Paris
2014-11-12,72,35,16,49,,7,2014,11,12,12NOV,0,4.276666119,Paris
2014-11-13,66,42,9,42,,7,2014,11,13,13NOV,0,4.189654742,Paris
2014-11-14,69,34,8,45,,7,2014,11,14,14NOV,0,4.2341065046,Paris
2014-11-15,75,34,11,41,,7,2014,11,15,15NOV,0,4.3174881135,Paris
2014-11-16,76,26,14,42,,5,2014,11,16,16NOV,0,4.3307333403,Paris
2014-11-17,68,30,13,49,,7,2014,11,17,17NOV,0,4.2195077052,Paris
2014-11-18,70,38,8,46,,7,2014,11,18,18NOV,0,4.248495242,Paris
2014-11-19,85,47,7,45,,9,2014,11,19,19NOV,0,4.4426512565,Paris
2014-11-20,99,47,5,36,,7,2014,11,20,20NOV,0,4.5951198501,Paris
2014-11-21,91,52,1,41,,1,2014,11,21,21NOV,0,4.5108595065,Paris
2014-11-22,109,54,1,42,,9,2014,11,22,22NOV,0,4.6913478822,Paris
2014-11-23,110,49,10,39,,8,2014,11,23,23NOV,0,4.7004803658,Paris
2014-11-24,103,37,15,45,,5,2014,11,24,24NOV,0,4.6347289882,Paris
2014-11-25,71,49,4,40,1,8,2014,11,25,25NOV,0,4.262679877,Paris
2014-11-26,95,46,23.041666667,41,,1,2014,11,26,26NOV,0,4.5538768916,Paris
2014-11-27,100,44,2,42,,9,2014,11,27,27NOV,0,4.605170186,Paris
2014-11-28,87,44,4,45,,8,2014,11,28,28NOV,0,4.4659081187,Paris
